Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-55.52007	-97.81199	42.29192	0.00696191	0.0265821	0.0488258	0.00208449	0.00578027	0.0204711	0.0144154	0.0285271	0.00436332	0.0178686	0.0195912	0.00917945	0.00040378	0.0273286	0.0367308	0.0215663	0.0168759	0.00159448	0.00298584	0.019663	0.0045221	0.005227	0.0433461	0.0356914	0.00680054	0.0244342	0.0102723	0.00661843	0.0156558	0.0190452	0.0134051	0.00660104	0.0173055	0.00585929	0.078529	0.6390307	1.360969	0.734236	0.860137	0.954083	1.04813	1.16261	1.36196	0.2233741	2.12974	0.011137	0.0425237	0.0781073	0.00333458	0.00924677	0.0327479	0.0230604	0.0456351	0.00698005	0.0285845	0.0313403	0.0146845	0.000645932	0.0437179	0.0587587	0.0344999	0.0269967	0.0025507	0.00477648	0.0314551	0.00723405	0.00836169	0.0693413	0.0570959	0.0108789	0.0390876	0.0164328	0.0105876	0.0250448	0.0304669	0.0214444	0.0105598	0.0276838	0.00937317	0.125624	0.680485	0.319515	0.6251126
36	-58.28926	-100.8403	42.55099	0.00185565	0.0123435	0.0251752	0.0120134	0.0411251	0.0180851	0.0560483	0.0132587	0.00899863	0.0149677	0.0388269	0.0213936	0.000608397	0.026237	0.00367664	0.0160519	0.00665924	0.00505355	0.00555446	0.0340553	0.0189068	0.00373803	0.00466725	0.0145303	0.00886546	0.0382084	0.0153936	0.0382974	0.000839859	0.00852669	0.00492554	0.00610801	0.00646782	0.0359513	0.066078	0.9128915	1.087108	0.430249	0.662772	0.879567	1.13692	1.50881	2.32423	0.6098296	1.190841	0.00292924	0.0194848	0.0397403	0.0189637	0.0649181	0.0285483	0.088475	0.0209295	0.0142048	0.0236273	0.0612903	0.0337709	0.000960385	0.0414164	0.00580375	0.0253387	0.0105119	0.00797729	0.00876799	0.053758	0.0298454	0.00590067	0.00736749	0.0229368	0.0139946	0.0603138	0.0242996	0.0604543	0.00132576	0.0134598	0.00777521	0.0096418	0.0102098	0.056751	0.104307	0.543554	0.456446	0.6334929
72	-51.03823	-93.44571	42.40748	0.00126666	0.002573	0.0103481	0.00445883	0.00516014	0.00131951	0.00234701	0.000550588	0.000634829	0.00313256	0.00218777	0.00161644	0.000546143	0.00459636	1.39723e-05	0.001513	0.00181979	0.00197679	0.000137165	0.00733163	0.00696708	0.000637224	0.00422019	0.00895088	0.000613652	0.0112398	0.00650705	0.00133898	0.00190188	0.00244732	0.00234943	0.0122474	0.000966604	0.00864963	0.00724177	1.215373	0.7846267	0.345878	0.595842	0.850835	1.17532	1.6783	2.8912	0.7676608	0.6455849	0.00975786	0.0198214	0.0797178	0.0343492	0.0397517	0.010165	0.0180805	0.00424152	0.00489048	0.024132	0.0168537	0.0124525	0.00420728	0.0354086	0.000107637	0.0116556	0.0140189	0.0152284	0.00105667	0.0564801	0.0536717	0.00490893	0.0325107	0.0689541	0.00472734	0.0865869	0.0501279	0.010315	0.0146513	0.0188532	0.0180991	0.0943491	0.00744635	0.0666335	0.0557878	0.392313	0.607687	0.1298091
108	-60.54141	-103.7209	43.17952	0.00598557	0.0264227	0.00477678	0.0282566	0.0711318	0.0248774	0.000832987	0.0167048	0.00197494	0.0275776	0.0215825	0.00392151	0.00319547	0.0230755	0.0242831	0.0135131	0.0551434	0.0280902	0.00914374	0.0328334	0.0105721	0.0103041	0.0467081	0.0318998	0.0776288	0.0270825	0.0782334	0.0149612	0.00281731	0.0410693	0.00215575	0.0466153	0.0261602	0.00443647	0.0176328	1.169301	0.8306992	0.626262	0.795935	0.93127	1.0738	1.25638	1.59678	0.3383862	0.7104238	0.00694704	0.030667	0.00554408	0.0327955	0.0825578	0.0288734	0.000966791	0.0193881	0.00229218	0.0320074	0.0250493	0.00455143	0.00370876	0.0267821	0.0281837	0.0156838	0.0640011	0.0326023	0.0106125	0.0381075	0.0122703	0.0119592	0.0542109	0.0370239	0.0900984	0.0314328	0.0908001	0.0173644	0.00326986	0.0476663	0.00250203	0.0541032	0.0303624	0.00514911	0.0204652	0.41535	0.58465	0.8616003
144	-54.90819	-95.91333	41.00514	0.00066699	0.0289581	0.0160475	0.0244064	0.0175576	0.000196068	0.00130274	0.00204822	0.0060833	0.0055748	0.00178317	0.00872616	0.00125605	0.0249609	0.00754789	0.00298144	0.0103709	0.0111662	0.00266867	0.0293493	0.0237063	0.0123545	0.0199338	0.0183765	0.0251097	0.012608	0.0440923	0.00419384	0.00306831	0.0176292	0.0011476	0.0209085	0.0020747	0.00397633	0.00140553	0.4766281	1.523372	0.24495	0.50356	0.80732	1.23867	1.98586	4.08246	1.017142	3.196144	0.00161016	0.069907	0.0387399	0.0589187	0.0423854	0.000473323	0.0031449	0.00494455	0.0146855	0.013458	0.00430471	0.0210656	0.00303219	0.0602574	0.0182212	0.00719741	0.0250361	0.0269561	0.00644236	0.0708514	0.0572287	0.0298246	0.0481216	0.0443623	0.0606168	0.0304366	0.106442	0.0101242	0.00740712	0.0425583	0.00277038	0.0504746	0.00500847	0.00959914	0.00339305	0.761686	0.238314	0.4142375
180	-67.30604	-106.6948	39.38878	0.000390635	0.000631404	0.00279332	0.00174075	0.00162532	0.000125712	5.1246e-05	0.000253993	0.00352028	0.0110024	0.00132671	0.000127636	8.00786e-05	0.0050228	0.00268733	0.00242837	0.000424243	0.0022059	0.00315666	0.000187781	0.0026955	0.000294922	0.000260384	0.00657795	0.00522192	0.00157854	0.0123246	0.000809805	0.000475088	0.00121896	0.00102401	0.00374999	0.000205324	0.00118569	0.000999647	0.7914301	1.20857	0.0304141	0.18205	0.587751	1.7014	5.49299	32.8795	2.525571	1.527071	0.00498227	0.00805312	0.0356269	0.022202	0.0207299	0.00160337	0.000653606	0.0032395	0.0448987	0.140328	0.0169213	0.00162791	0.00102135	0.0640623	0.034275	0.0309722	0.00541092	0.0281347	0.0402609	0.00239501	0.0343793	0.00376152	0.00332101	0.0838972	0.066602	0.0201332	0.157192	0.0103285	0.00605942	0.0155469	0.0130606	0.0478284	0.00261876	0.0151226	0.0127498	0.604285	0.395715	0.07840493
216	-50.69668	-93.7569	43.06023	0.0314653	0.00700592	0.00817166	0.00354832	0.00300438	0.000897716	0.0124116	0.00075401	0.000699438	0.00932466	0.00264514	0.00705663	0.00602365	0.0410975	0.00344793	0.0248718	0.00662703	0.0256023	0.0506136	0.0136793	0.0155766	0.0622031	0.027519	0.0533669	0.093499	0.0190658	0.000659726	0.0224154	0.00770734	0.0172843	0.07041	0.00659119	0.00157395	0.0213667	0.0205236	1.182648	0.8173518	0.436742	0.667631	0.881574	1.13433	1.49783	2.28968	0.5989997	0.69112	0.0450334	0.0100269	0.0116953	0.00507838	0.00429989	0.00128482	0.0177636	0.00107915	0.00100104	0.0133455	0.00378574	0.0100995	0.00862109	0.058819	0.0049347	0.0355968	0.00948465	0.0366422	0.0724386	0.0195779	0.0222933	0.0890256	0.0393855	0.0763792	0.133817	0.0272871	0.000944205	0.0320811	0.0110308	0.0247374	0.100771	0.00943336	0.00225265	0.0305802	0.0293735	0.408676	0.591324	0.6987106
252	-51.73282	-93.9408	42.20798	0.00263621	0.0147036	0.00808217	0.00870398	0.00279071	0.00327444	0.0126778	0.00584223	0.00963363	0.0218447	0.0184764	0.000376582	0.0014754	0.00833214	0.000777581	0.0087263	0.00374839	0.0093163	0.00906829	0.0072622	0.00185532	0.00736598	0.00707859	0.0205415	0.0191958	0.0110445	0.00678618	0.0106584	0.00606808	0.00661724	0.00750205	0.0204723	0.0119699	0.000370073	0.00407569	0.8047254	1.195275	0.415666	0.651719	0.874964	1.1429	1.5344	2.40578	0.6347636	1.48532	0.00880642	0.0491184	0.026999	0.0290762	0.00932255	0.0109385	0.042351	0.0195163	0.0321817	0.0729735	0.0617216	0.001258	0.00492866	0.027834	0.00259756	0.0291508	0.0125218	0.0311217	0.0302932	0.0242598	0.00619782	0.0246065	0.0236465	0.0686202	0.0641248	0.036895	0.0226697	0.035605	0.0202708	0.0221053	0.0250611	0.0683889	0.0399863	0.00123625	0.0136151	0.597637	0.402363	0.2993507
288	-56.36798	-100.176	43.808	0.0135287	0.00749192	0.0053665	0.0273752	0.00423995	0.00104252	0.00888705	2.51734e-05	0.00403754	0.00676271	0.00238668	0.0241165	0.0179421	0.0206206	0.00436785	0.00921204	0.00228969	0.00815354	0.0158369	0.000365724	0.00513632	0.0377487	0.00744105	0.0211892	0.03666	0.00338236	0.00114822	0.00686763	0.0118547	0.0418963	0.014987	0.0125708	0.0128036	0.00424405	0.00361855	1.542556	0.457444	0.45333	0.67988	0.886588	1.12792	1.47085	2.2059	0.5720449	0.2965493	0.033355	0.0184713	0.0132311	0.0674934	0.0104536	0.00257034	0.021911	6.20649e-05	0.00995456	0.0166735	0.00588435	0.0594591	0.0442361	0.05084	0.0107689	0.0227123	0.00564524	0.0201025	0.0390459	0.000901692	0.0126636	0.0930695	0.0183459	0.052242	0.0903852	0.00833922	0.00283093	0.0169321	0.0292279	0.103295	0.0369504	0.0309933	0.0315672	0.0104637	0.00892154	0.228722	0.771278	0.4055973
324	-57.90962	-101.5037	43.59404	0.0243181	0.00365112	0.0163294	0.0129137	0.00343566	0.0300356	0.00051946	0.0223903	0.00357032	0.0315806	0.0314474	0.0130472	0.00413142	0.00658129	0.00735505	0.00122538	0.0293111	0.000456277	0.00533421	0.00763616	0.0207153	0.0105195	0.00296704	0.0437353	0.018613	0.00422974	0.0100322	0.00305389	0.00865689	0.00802829	0.00242095	0.0159991	0.0139883	0.00472376	0.00247365	1.165091	0.8349092	0.892074	0.945824	0.982773	1.01753	1.05728	1.12098	0.08257878	0.7166044	0.0571618	0.00858226	0.0383837	0.0303548	0.00807579	0.0706011	0.00122103	0.0526303	0.00839233	0.0742327	0.0739196	0.0306684	0.00971123	0.0154699	0.0172886	0.00288034	0.0688981	0.00107252	0.0125385	0.0179494	0.0486931	0.024727	0.00697427	0.102803	0.0437513	0.00994236	0.0235816	0.00717842	0.0203487	0.0188711	0.00569063	0.0376071	0.0328807	0.0111036	0.00581451	0.417455	0.582545	0.4254268
