Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-59.77951	-100.5994	40.81989	0.00379652	0.00468577	0.00343712	0.0059673	0.00196141	0.00160129	0.000468048	0.000728761	0.00406973	0.00360634	0.000723078	0.000419008	0.000399236	0.00327155	0.000649908	0.00296007	0.00101741	0.000355854	4.53911e-05	0.00318744	0.000935868	0.00014493	0.00326418	0.00102995	0.00124932	0.00203732	0.00377502	0.000807124	0.00062223	0.00133192	0.00164717	0.00457167	0.00136809	0.00298584	0.000867866	1.007586	0.9924138	0.133014	0.373871	0.735694	1.35926	2.67472	7.51803	1.45865	0.9849418	0.054244	0.0669493	0.049109	0.0852596	0.0280243	0.0228789	0.00668738	0.0104124	0.0581475	0.0515268	0.0103312	0.00598671	0.00570421	0.0467433	0.00928577	0.0422929	0.0145365	0.00508438	0.00064854	0.0455415	0.0133715	0.00207074	0.046638	0.0147157	0.0178501	0.0291088	0.0539367	0.011532	0.00889031	0.0190302	0.0235344	0.0653192	0.019547	0.0426612	0.0123999	0.496207	0.503793	0.06998972
36	-48.41023	-92.57028	44.16005	0.00165109	0.0180555	0.00827637	0.0124215	0.0517197	0.0351172	0.0520019	0.00192153	0.00466614	0.0470331	0.0405803	0.0212123	0.000256776	0.0360782	0.0144533	0.00710151	0.00552201	0.00136437	0.0103409	0.0655765	0.0321551	0.0141478	0.0198903	0.00175974	0.00573717	0.00733712	0.0279943	0.0250445	0.00653217	0.0890153	0.0683682	0.0620917	0.0024645	0.00904613	0.00373777	1.490134	0.5098662	0.999722	0.999865	0.999958	1.00004	1.00014	1.00028	0.0002007295	0.3421613	0.00203669	0.0222723	0.0102093	0.0153224	0.0637985	0.0433186	0.0641466	0.00237029	0.00575589	0.0580175	0.0500576	0.0261664	0.000316745	0.0445041	0.0178288	0.00876003	0.00681165	0.00168301	0.0127559	0.0808915	0.0396647	0.017452	0.0245356	0.00217072	0.00707705	0.00905066	0.0345322	0.0308935	0.00805773	0.109804	0.0843353	0.0765929	0.00304006	0.0111588	0.00461071	0.254933	0.745067	0.8106721
72	-57.09743	-99.58581	42.48838	0.00465536	0.0478476	0.0288817	0.0189696	0.0278132	0.00941766	0.0465638	0.0122277	0.00339124	0.0237897	0.0308735	0.00796013	0.000605772	0.0490526	1.52601e-05	0.00332836	0.0252144	0.0123294	0.00783142	0.0332709	0.026598	0.0171854	0.00375609	0.00546532	0.000932793	0.0126302	0.0568131	0.0176745	0.0300486	0.049648	0.0607497	0.0344986	0.00759554	0.0308388	0.176597	0.8678953	1.132105	0.597991	0.778204	0.924747	1.08138	1.28501	1.67227	0.3717875	1.304425	0.00503243	0.0517231	0.0312211	0.0205061	0.0300661	0.0101805	0.0503354	0.0132181	0.00366592	0.0257166	0.0333742	0.00860489	0.000654838	0.0530258	1.64961e-05	0.00359795	0.0272567	0.0133281	0.00846574	0.0359658	0.0287524	0.0185774	0.00406033	0.00590799	0.00100835	0.0136532	0.0614149	0.0191061	0.0324824	0.0536694	0.0656703	0.0372929	0.00821076	0.0333367	0.190901	0.566052	0.433948	0.9250712
108	-59.25607	-100.7962	41.54015	0.00459505	0.012058	0.00341513	0.00769369	0.0209211	0.00195161	0.00659149	0.00031344	0.000507946	0.0148371	0.0119078	0.00312881	0.00889593	0.033287	0.0312848	0.00199936	0.0347	0.0109469	0.00320898	0.00401549	0.00119805	0.00258688	0.00299153	0.00374206	0.00863444	0.00196609	0.0231624	0.0233791	0.0296429	7.70228e-05	0.00615252	0.00140604	0.0019245	0.0127343	0.000473289	0.7557386	1.244261	0.182325	0.436026	0.771853	1.29558	2.29344	5.48472	1.230639	1.646418	0.0136623	0.0358516	0.0101541	0.0228754	0.0622039	0.00580267	0.0195982	0.000931939	0.00151026	0.0441147	0.0354052	0.00930278	0.0264499	0.0989711	0.0930179	0.00594463	0.103172	0.032548	0.00954115	0.0119391	0.00356213	0.00769149	0.00889461	0.0111261	0.0256725	0.00584571	0.0688678	0.0695122	0.0881361	0.000229009	0.0182931	0.00418053	0.00572206	0.0378625	0.00140721	0.622131	0.377869	0.3363308
144	-56.97409	-101.2375	44.26343	0.00707558	0.0135982	0.008582	0.00483584	0.0289638	0.00141544	0.0046543	0.0166311	0.00399211	0.00390763	0.00230709	0.00648164	0.0118014	0.0415573	0.0162947	0.010421	0.0564946	0.017103	0.00287931	0.00387675	0.000453462	0.0189379	0.0141836	0.0225367	0.0478153	0.00157916	0.0261473	0.0271155	0.0215184	0.00125012	0.00245493	0.000232551	0.00796799	0.0360336	0.00252064	1.696569	0.3034313	0.531504	0.734732	0.908311	1.10094	1.36104	1.88145	0.4570112	0.17885	0.0143341	0.0275478	0.0173858	0.0097967	0.0586764	0.00286748	0.00942893	0.0336921	0.00808741	0.00791627	0.00467382	0.0131308	0.0239078	0.0841889	0.0330106	0.0211114	0.11445	0.0346481	0.00583305	0.00785372	0.000918646	0.0383653	0.0287338	0.045656	0.0968667	0.00319914	0.0529706	0.054932	0.043593	0.00253256	0.00497332	0.000471114	0.016142	0.0729987	0.00510643	0.151716	0.848284	0.4936198
180	-63.70935	-106.5808	42.87147	0.0316313	0.0490899	0.0051317	0.00538686	0.120014	0.0660042	0.0110188	0.00873551	0.0371945	0.042151	0.00146577	0.00483216	0.0565171	0.0320609	0.00537102	0.00808599	0.00237779	0.0646859	0.0296179	0.0205805	0.000101374	0.00286705	0.0496278	0.0356561	0.0372078	0.039623	0.0265859	0.00347814	0.0224209	0.000289891	0.00451169	0.0162199	0.000640241	0.011188	0.0149633	0.9665333	1.033467	0.710828	0.846653	0.949392	1.05331	1.18112	1.40681	0.2468009	1.069251	0.0364697	0.0565987	0.00591664	0.00621083	0.138371	0.0761001	0.0127042	0.0100717	0.0428838	0.0485983	0.00168997	0.00557128	0.0651619	0.0369649	0.00619257	0.00932282	0.00274149	0.0745802	0.0341482	0.0237284	0.00011688	0.0033056	0.0572188	0.04111	0.0428991	0.0456837	0.0306524	0.00401015	0.0258504	0.000334233	0.00520179	0.0187009	0.000738172	0.0128993	0.0172521	0.516733	0.483267	0.8673335
216	-57.87146	-101.281	43.40954	0.0139561	0.011322	0.0418418	0.000539309	0.00837567	0.003014	0.0183277	0.00359307	0.00419196	0.0230046	0.00282883	0.0131529	0.000304767	0.0336693	0.00719538	0.00974149	0.0139165	0.0040639	0.0384255	0.017693	0.00325107	0.00899345	0.0360061	0.0149465	0.00181721	0.00673896	0.0193749	0.0356915	0.064257	0.0478953	0.0324529	0.0240407	0.0108445	0.0315724	0.0233204	1.090212	0.9097884	0.861391	0.929816	0.977553	1.02296	1.07548	1.16091	0.1078867	0.8345062	0.0221398	0.0179611	0.0663775	0.000855556	0.0132871	0.00478139	0.0290749	0.00570003	0.0066501	0.0364944	0.00448764	0.0208657	0.00048348	0.0534128	0.0114147	0.0154538	0.0220771	0.00644695	0.0609579	0.028068	0.00515748	0.0142671	0.0571199	0.0237111	0.00288281	0.0106906	0.0307362	0.0566208	0.101937	0.0759808	0.051483	0.038138	0.0172036	0.0500863	0.0369953	0.454894	0.545106	0.6303607
252	-71.41645	-112.3083	40.89188	0.0198196	0.0234343	0.00901259	0.00569136	0.00107181	0.000279173	0.021507	0.00465012	0.0211063	0.0237019	0.00833733	0.0411784	0.000664667	0.0313342	0.021649	0.0153864	0.0150701	0.0150266	0.0114411	0.0201063	0.0116421	0.0314554	0.0461671	0.0254968	0.0055377	0.00218039	0.0308392	0.00117466	0.00621152	0.00256898	0.00424831	0.0287748	0.00176924	0.000417223	0.0420186	0.4305784	1.569422	0.261283	0.519665	0.815288	1.22656	1.92432	3.82727	0.9704679	3.644915	0.0359721	0.0425328	0.0163577	0.0103297	0.00194532	0.000506693	0.0390348	0.00843988	0.0383074	0.0430185	0.0151321	0.074738	0.00120636	0.0568709	0.0392925	0.0279261	0.027352	0.027273	0.0207654	0.0364926	0.0211301	0.057091	0.0837924	0.0462762	0.0100508	0.00395737	0.0559726	0.00213199	0.0112738	0.00466264	0.0077106	0.0522256	0.00321114	0.000757252	0.076263	0.784711	0.215289	0.5509703
288	-58.79491	-101.7571	42.96222	0.0334119	0.0234509	0.0257121	0.00611388	0.00448074	0.0356675	5.77095e-05	0.00611776	0.00603859	0.040258	0.00868689	0.0213925	0.00876155	0.00712281	0.00720264	0.00130267	0.0024231	0.0014932	0.00191115	0.00253895	0.0463365	0.0168978	0.00956093	0.00301512	0.0151316	0.00252438	0.0045294	0.00199436	0.0280378	0.0104665	0.00556814	0.0522453	0.0102755	0.015344	0.00478533	1.102924	0.897076	0.432	0.664086	0.880111	1.13622	1.50583	2.31481	0.6068927	0.8133615	0.0709597	0.0498047	0.0546071	0.0129846	0.00951614	0.0757502	0.000122563	0.0129928	0.0128247	0.0854994	0.0184491	0.0454331	0.0186076	0.0151273	0.0152969	0.00276659	0.00514615	0.00317124	0.00405888	0.00539218	0.0984087	0.0358873	0.0203054	0.00640346	0.0321362	0.00536124	0.00961948	0.0042356	0.0595464	0.0222286	0.0118255	0.110958	0.021823	0.0325873	0.010163	0.448538	0.551462	0.4708573
324	-54.52477	-96.70528	42.18051	0.0328201	0.0273743	0.00466903	0.00644237	0.045165	0.0237752	0.000143335	0.00688004	0.00347584	0.0166037	0.00911534	0.0196594	0.0428635	0.056216	0.00411633	0.013926	0.00226492	0.00955605	0.00289662	0.0118789	0.00274573	0.00305541	0.00817432	0.00482224	0.00402934	0.00024021	0.0051734	0.00128539	0.00725009	0.0104245	0.00756166	0.0251898	0.0321886	0.0010889	0.0100229	0.689479	1.310521	0.506075	0.717372	0.901561	1.10919	1.39398	1.97599	0.4924613	1.900741	0.0708714	0.0591116	0.0100822	0.0139116	0.0975287	0.0513399	0.000309515	0.0148567	0.00750569	0.0358537	0.0196835	0.0424523	0.0925588	0.121392	0.00888874	0.0300715	0.00489084	0.0206352	0.00625492	0.0256511	0.0059291	0.00659782	0.0176515	0.0104131	0.00870092	0.000518706	0.0111714	0.00277566	0.0156558	0.0225105	0.0163285	0.0543945	0.0695077	0.00235136	0.0216434	0.65526	0.34474	0.4630943
